method,split,count,mean_km,median_km,p90_km,p95_km,max_km
persistence,train,4534,91.79671901528707,74.06740496015078,179.36197746919285,232.19686634774968,1032.7658347750967
persistence,val,934,95.02007216787166,72.82001134462237,183.7769415907062,240.39167797090485,634.060275776611
persistence,test,1729,97.98219005709518,76.43503356456549,193.65919013788107,243.69916485725378,793.0791624588073
persistence,all,7197,93.70102515337241,74.45632542388789,183.60809664403584,236.90553867221442,1032.7658347750967
wind10_advection,train,4534,273.3966376000777,226.13007696942225,524.9297871137666,663.0881621642869,1335.9240340392178
wind10_advection,val,934,256.0969880104196,215.53915630363403,486.71463247828353,613.6652424480156,1044.3435653137144
wind10_advection,test,1729,248.44369148932734,218.50854888766608,477.97790608087365,554.7925940243422,1216.2546368664568
wind10_advection,all,7197,265.1568826268628,222.685179972149,505.4622650776818,626.871462694727,1335.9240340392178
climatology,train,4534,220.6436203275883,183.4127359001899,407.1972956830163,516.8807819115242,1132.4753574624988
climatology,val,934,234.17170854801793,195.45493481432266,426.5415326995757,613.1914368406319,1211.5824891622963
climatology,test,1729,214.1419408063813,179.41664832419517,405.8685377924932,498.7248787768808,892.8635564980963
climatology,all,7197,220.83728859293697,183.83034265273204,409.8157567038872,523.0037767995599,1211.5824891622963
ensemble_pers_wind,train,4534,118.82466768957525,100.72735135324385,222.8065104951889,279.68885057056644,827.3403060239044
ensemble_pers_wind,val,934,117.4131263391855,103.10641771293804,218.26837389954437,273.10556256018947,581.528592918259
ensemble_pers_wind,test,1729,116.04481343830291,98.22551846440965,212.50463441911162,270.0775447101573,665.6184240673846
ensemble_pers_wind,all,7197,117.97365370851175,100.22049649303632,219.39317814329146,276.6874730095036,827.3403060239044
persistence_lat_adjusted,train,4534,93.05998411281395,74.75354372597948,181.24132084385406,233.96987150473902,1080.8253227069256
persistence_lat_adjusted,val,934,96.92232814344263,74.16906143764139,183.3555719729788,238.53547104539288,698.9422125333176
persistence_lat_adjusted,test,1729,101.42982971214853,77.53325890277068,200.9310579321721,261.06509283378,839.7257593694017
persistence_lat_adjusted,all,7197,95.5719880541585,75.19551497894372,187.41180123083265,240.08185008453447,1080.8253227069256
